### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
## TABLE 11 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
2 | 03.09 ~ 03.15 | 수 | 과학 | 1. 지층과 화석 | 퇴적암을 어떻게 분류할 수 있을까요 | 5/13 | 20~21 | 
## TABLE 29 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
2 | 03.09 ~ 03.15 | 수 | 영어 | 1. I’m from Spain | 자신과 친구를 소개하는 글을 읽고 내용 이해하기 | 4/8 | 16~17 | 
2 | 03.09 ~ 03.15 | 목 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 인상 깊은 내용을 파악하며 책 읽기 -5- | 7/10 | 16~23 | 
2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 1학기 전교임원선거 | 1학기 전교임원선거 -1- 【민주시민교육】 | 1/2 |  | 
2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 1학기 전교임원선거 | 1학기 전교임원선거 -2- 【민주시민교육】 | 2/2 |  | 
2 | 03.09 ~ 03.15 | 목 | 사회 | 1. 우리나라 국토 여행 | 우리 국토 지형 여행을 떠나 볼까요 -1- | 6/16 | 28~31 | 
2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 생명존중 및 자살예방 교육 | 나의 가치를 알아보고 나를 사랑하는 마음 갖기 【생명존중 및 자살예방 교육, 폭력예방 및 신변보호】 | 3/6 |  | 
2 | 03.09 ~ 03.15 | 목 | 자율·자치활동 | 학급특색교육 | 학급특색교육 -1- 【경제･금융교육】 | 1/2 |  | 
2 | 03.09 ~ 03.15 | 금 | 과학 | 1. 지층과 화석 | 여러 가지 화석을 관찰해 볼까요 | 6/13 | 22~23 | 
2 | 03.09 ~ 03.15 | 금 | 자율·자치활동 | 1학기 학급임원선거 | 1학기 학급임원선거 【생활안전-제품 안전】 | 1/1 |  | 
2 | 03.09 ~ 03.15 | 금 | 영어 | 1. I’m from Spain | 자신을 소개하는 글 읽고 쓰기 -1- | 5/8 | 18~19 | 
2 | 03.09 ~ 03.15 | 금 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 유연성 기르기 -2- | 5/13 | 14~15 | 
2 | 03.09 ~ 03.15 | 금 | 미술 | 1. 조형 원리를 찾아라! | 작품 속 조형 원리를 찾아볼까요 -3- | 3/6 | 6~7 | 
2 | 03.09 ~ 03.15 | 금 | 미술 | 1. 조형 원리를 찾아라! | 조형 원리를 활용하여 표현하기 -1- | 4/6 | 8 | 
3 | 03.16 ~ 03.22 | 월 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 인상 깊은 내용을 파악하며 책 읽기 -6- | 8/10 | 16~23 | 
3 | 03.16 ~ 03.22 | 월 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 책 내용을 간추리고 인상 깊게 읽은 내용 이야기하기 -1- | 9/10 | 24~33 | 
3 | 03.16 ~ 03.22 | 월 | 영어 | 1. I’m from Spain | 자신을 소개하는 글 읽고 쓰기 -2- | 6/8 | 18~19 | 
3 | 03.16 ~ 03.22 | 월 | 동아리활동 | 동아리 활동 | 다양한 방법으로 내가 좋아하는 책 소개하기 | 1/8 |  | 
3 | 03.16 ~ 03.22 | 월 | 자율·자치활동 | 학교폭력 예방교육 | 친구에게 피해를 주는 행동과 사이좋게 지낼 수 있는 행동 알아보기 【학교폭력 예방교육, 폭력예방 및 신변보호】 | 1/9 |  | 
3 | 03.16 ~ 03.22 | 월 | 실과 | 1. 건강한 발달을 위한 실 | 건강한 발달을 위해 필요한 조건이 있어요 -2- 【양성 | 3/6 | 12~13 | 
## TABLE 38 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
3 | 03.16 ~ 03.22 | 월 |  | 천 | 평등교육, 보건교육】 |  |  | 
3 | 03.16 ~ 03.22 | 화 | 도덕 | 1. 내 삶의 주인이 되는 나 | 왜 자주적으로 살아야 할까? | 2/4 | 12~13 | 
3 | 03.16 ~ 03.22 | 화 | 과학 | 1. 지층과 화석 | 화석은 어떻게 만들어질까요 -1- | 7/13 | 24~27 | 
3 | 03.16 ~ 03.22 | 화 | 사회 | 1. 우리나라 국토 여행 | 우리 국토 지형 여행을 떠나 볼까요 -2- | 7/16 | 28~31 | 
3 | 03.16 ~ 03.22 | 화 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 근력과 근지구력 기르기 -1- | 6/13 | 16~17 | 
3 | 03.16 ~ 03.22 | 화 | 자율·자치활동 | 학교폭력 예방교육 | 어려움이 있는 친구를 도와주는 방법 알고 실천해보기 【학교폭력 예방교육, 폭력예방 및 신변보호, 봉사활동-1】 | 2/9 |  | 
3 | 03.16 ~ 03.22 | 화 | 음악 | 1. 새싹들이다 | 당김음을 살려 노래 부르기 -2- | 2/2 | 10~11 | 
3 | 03.16 ~ 03.22 | 수 | 국어 | <독서> 책을 읽고 함께 이야기해요 | 책 내용을 간추리고 인상 깊게 읽은 내용 이야기하기 -2- | 10/10 | 24~33 | 
3 | 03.16 ~ 03.22 | 수 | 영어 | 1. I’m from Spain | 문제를 풀며 학습한 내용 정리하기 -1- | 7/8 | 20~21 | 
3 | 03.16 ~ 03.22 | 수 | 자율·자치활동 | 학교폭력 예방교육 | 우리 반과 학교에서 지켜야 할 질서, 규칙 알아보고 실천하기 【학교폭력 예방교육, 폭력예방 및 신변보호】 | 3/9 |  | 
3 | 03.16 ~ 03.22 | 수 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 근력과 근지구력 기르기 -2- | 7/13 | 16~17 | 
3 | 03.16 ~ 03.22 | 수 | 과학 | 1. 지층과 화석 | 화석은 어떻게 만들어질까요 -2- | 8/13 | 24~27 | 
3 | 03.16 ~ 03.22 | 목 | 국어 | 1. 대화를 나누어요 | 배울 내용 살펴보기,[어울림교육-1]감정조절 | 1/13 | 34~37 | 
3 | 03.16 ~ 03.22 | 목 | 국어 | 1. 대화를 나누어요 | 배려하며 대화하는 방법 알기 -1-,[어울림교육-2]감정조절 【인성교육】 | 2/13 | 38~41 | 
3 | 03.16 ~ 03.22 | 목 | 영어 | 1. I’m from Spain | 문제를 풀며 학습한 내용 정리하기 -2- | 8/8 | 20~21 | 
3 | 03.16 ~ 03.22 | 목 | 사회 | 1. 우리나라 국토 여행 | 우리 국토 지형 여행을 떠나 볼까요 -3- | 8/16 | 28~31 | 
3 | 03.16 ~ 03.22 | 목 | 수학 | 1. 자연수의 혼합 계산 | 덧셈, 뺄셈, 곱셈이 섞여 있는 식을 계산해 볼까요 -2- | 5/12 | 14~15 | 
3 | 03.16 ~ 03.22 | 목 | 음악 | 1. 고장 난 시계 | 음악을 감상하며 음악적 특징을 다양한 방법으로 표현하기 -1- | 1/2 | 12~13 | 
## TABLE 47 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
3 | 03.16 ~ 03.22 | 금 | 과학 | 1. 지층과 화석 | 화석으로 무엇을 알 수 있을까요 | 9/13 | 28~29 | 
3 | 03.16 ~ 03.22 | 금 | 사회 | 1. 우리나라 국토 여행 | 독도는 어디에 있을까요 【독도교육】 | 9/16 | 32~35 | 
3 | 03.16 ~ 03.22 | 금 | 실과 | 1. 건강한 발달을 위한 실천 | 건강한 발달을 위한 방법을 알아봐요. 【보건교육】 | 4/6 | 14~15 | 
3 | 03.16 ~ 03.22 | 금 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 심폐지구력 기르기 -1- | 8/13 | 18~19 | 
