### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
## TABLE 11 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
6 | 04.06 ~ 04.12 | 목 | 국어 | 2. 체험한 일을 글로 써요 | 시간 표현을 활용해 있었던 일 나타내기 -1- | 4/15 | 81~86 | 
6 | 04.06 ~ 04.12 | 목 | 영어 | Culture 1 | 여러 나라의 식사 예절 -2- | 2/2 | 36~37 | 
6 | 04.06 ~ 04.12 | 목 | 자율·자치활동 | 다문화 이해교육 | 다른 나라 사람들의 생활 모습 알아보기 【다문화 이해교육】 | 1/4 |  | 
6 | 04.06 ~ 04.12 | 목 | 수학 | 2. 약수와 배수 | 공약수와 최대공약수를 알아볼까요 | 5/13 | 36~37 | 
6 | 04.06 ~ 04.12 | 목 | 음악 | 1. 도롱뇽 | 다장조의 음계를 익혀 다양한 방법으로 표현하며 노래 부르기 -2- | 2/2 | 18~19 | 
6 | 04.06 ~ 04.12 | 금 | 과학 | 2. 빛의 성질 | 빛은 어떻게 나아갈까요 -2- | 5/13 | 44~47 | 
6 | 04.06 ~ 04.12 | 금 | 사회 | 2. 우리나라 지리 탐구 | 단원·주제 도입 | 1/18 | 54~57 | 
6 | 04.06 ~ 04.12 | 금 | 실과 | 2. 동식물과 함께하는 생활 | 식물을 직접 가꾸어 봐요. -1- | 4/12 | 28~31 | 
6 | 04.06 ~ 04.12 | 금 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 상대방과 내 감정 이해하기 【양성평등교육】 | 4/8 | 28~29 | 
## TABLE 92 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
6 | 04.06 ~ 04.12 | 금 | 미술 | 2. 이미지를 읽어요 | 감정을 이미지로 표현하기 -2- | 5/6 | 13 | 
6 | 04.06 ~ 04.12 | 금 | 미술 | 2. 이미지를 읽어요 | 시각 문화 작품 감상하기 | 6/6 | 14 | 
7 | 04.13 ~ 04.19 | 월 | 국어 | 2. 체험한 일을 글로 써요 | 시간 표현을 활용해 있었던 일 나타내기 -2- | 5/15 | 81~86 | 
7 | 04.13 ~ 04.19 | 월 | 국어 | 2. 체험한 일을 글로 써요 | 시간 표현을 활용해 있었던 일 나타내기 -3- | 6/15 | 81~86 | 
7 | 04.13 ~ 04.19 | 월 | 영어 | 3. Can I Sit Here? | 허락을 요청하고 답하는 표현 이해하기 | 1/8 | 38~41 | 
7 | 04.13 ~ 04.19 | 월 | 수학 | 2. 약수와 배수 | 최대공약수를 구하는 방법을 알아볼까요 -1- | 6/13 | 38~39 | 
7 | 04.13 ~ 04.19 | 월 | 자율·자치활동 | 장애인식 개선교육 | 장애우의 어려운 점 이해하고 도와줄 일 알아보기 【장애인식 개선교육】 | 1/4 |  | 
7 | 04.13 ~ 04.19 | 월 | 실과 | 2. 동식물과 함께하는 생활 | 식물을 직접 가꾸어 봐요. -2- | 5/12 | 28~31 | 
7 | 04.13 ~ 04.19 | 화 | 도덕 | 2. 반성과 성찰로 성장하는 나 | 성찰하며 성장해요 | 2/4 | 26~29 | 
7 | 04.13 ~ 04.19 | 화 | 과학 | 2. 빛의 성질 | 빛이 거울에 부딪치면 어떻게 될까요 | 6/13 | 48~49 | 
7 | 04.13 ~ 04.19 | 화 | 자율·자치활동 | 장애인식 개선교육 | 장애인에 대한 바른 태도 알아보기 【장애인식 개선교육】 | 2/4 |  | 
7 | 04.13 ~ 04.19 | 화 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 건강한 관계 맺기 -1- 【양성평등교육】 | 5/8 | 30~31 | 
7 | 04.13 ~ 04.19 | 화 | 수학 | 2. 약수와 배수 | 최대공약수를 구하는 방법을 알아볼까요 -2- | 7/13 | 38~39 | 
7 | 04.13 ~ 04.19 | 화 | 음악 | 1. 학교 가는 길 | 바른 연주 자세와 주법으로 리코더 2중주를 하고 평가하기 -1- | 1/2 | 20~21 | 
7 | 04.13 ~ 04.19 | 수 | 국어 | 2. 체험한 일을 글로 써요 | 기행문의 특성 알기 -1- | 7/15 | 87~92 | 
7 | 04.13 ~ 04.19 | 수 | 영어 | 3. Can I Sit Here? | 허락을 요청하고 답하는 내용 이해하여 말하기 -1- | 2/8 | 42~43 | 
7 | 04.13 ~ 04.19 | 수 | 수학 | 2. 약수와 배수 | 공배수와 최소공배수를 알아볼까요 | 8/13 | 40~41 | 
7 | 04.13 ~ 04.19 | 수 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 건강한 관계 맺기 -2- 【양성평등교육】 | 6/8 | 30~31 | 
7 | 04.13 ~ 04.19 | 수 | 과학 | 2. 빛의 성질 | 공기와 물의 경계에서 빛이 어떻게 나아갈까요 | 7/13 | 50~51 | 
## TABLE 101 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
7 | 04.13 ~ 04.19 | 목 | 국어 | 2. 체험한 일을 글로 써요 | 기행문의 특성 알기 -2- | 8/15 | 87~92 | 
7 | 04.13 ~ 04.19 | 목 | 국어 | 2. 체험한 일을 글로 써요 | 여정, 견문, 감상이 드러나는 기행문 쓰기 -1- | 9/15 | 93~101 | 
7 | 04.13 ~ 04.19 | 목 | 영어 | 3. Can I Sit Here? | 허락을 요청하고 답하는 내용 이해하여 말하기 -2- | 3/8 | 42~43 | 
7 | 04.13 ~ 04.19 | 목 | 실과 | 2. 동식물과 함께하는 생활 | 식물을 직접 가꾸어 봐요. -3- | 6/12 | 28~31 | 
7 | 04.13 ~ 04.19 | 목 | 수학 | 2. 약수와 배수 | 최소공배수를 구하는 방법을 알아볼까요 -1- | 9/13 | 42~45 | 
7 | 04.13 ~ 04.19 | 목 | 음악 | 1. 학교 가는 길 | 바른 연주 자세와 주법으로 리코더 2중주를 하고 평가하기 -2- | 2/2 | 20~21 | 
7 | 04.13 ~ 04.19 | 금 | 과학 | 2. 빛의 성질 | 공기와 렌즈의 경계에서 빛이 어떻게 나아갈까요 | 8/13 | 52~53 | 
7 | 04.13 ~ 04.19 | 금 | 사회 | 2. 우리나라 지리 탐구 | 우리나라의 기후는 어떤 특징이 있을까요 | 2/18 | 58~59 | 
7 | 04.13 ~ 04.19 | 금 | 실과 | 2. 동식물과 함께하는 생활 | 식물을 직접 가꾸어 봐요. -4- | 7/12 | 28~31 | 
7 | 04.13 ~ 04.19 | 금 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 운동으로 달라지는 우리의 뇌 【교통안전-보행자안전】 | 7/8 | 32~33 | 
7 | 04.13 ~ 04.19 | 금 | 미술 | 3. 새기고 찍는 즐거움 | 어떻게 찍었을까요 | 1/6 | 15 | 
7 | 04.13 ~ 04.19 | 금 | 미술 | 3. 새기고 찍는 즐거움 | 모노타이프로 표현하기 | 2/6 | 16 | 
8 | 04.20 ~ 04.26 | 월 | 국어 | 2. 체험한 일을 글로 써요 | 여정, 견문, 감상이 드러나는 기행문 쓰기 -2- | 10/15 | 93~101 | 
8 | 04.20 ~ 04.26 | 월 | 국어 | 2. 체험한 일을 글로 써요 | 여정, 견문, 감상이 드러나는 기행문 쓰기 -3-행복교실1 - '내가 겪은 여행지에서의 황당한 일' 사연 낭독하기 | 11/15 | 93~101 | 
8 | 04.20 ~ 04.26 | 월 | 영어 | 3. Can I Sit Here? | 허락을 요청하고 답하는 문장 읽고 쓰기 | 4/8 | 44~45 | 
8 | 04.20 ~ 04.26 | 월 | 수학 | 2. 약수와 배수 | 최소공배수를 구하는 방법을 알아볼까요 -2- | 10/13 | 42~45 | 
8 | 04.20 ~ 04.26 | 월 | 자율·자치활동 | 보건교육 | 건강의 의미를 알아보고 적절한 건강 증진 계획 세우기 【보건교육, 생활안전-신체활동 안전】 | 1/13 |  | 
8 | 04.20 ~ 04.26 | 월 | 실과 | 2. 동식물과 함께하는 생활 | 동물을 직접 돌보며 길러 봐요. -1- | 8/12 | 32~35 | 
## TABLE 110 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
8 | 04.20 ~ 04.26 | 화 | 과학 | 2. 빛의 성질 | 우리 주변에서 거울과 렌즈를 찾아볼까요 | 9/13 | 54~57 | 
8 | 04.20 ~ 04.26 | 화 | 사회 | 2. 우리나라 지리 탐구 | 우리나라의 기온은 계절에 따라 어떤 차이가 있을까요 | 3/18 | 60~61 | 
8 | 04.20 ~ 04.26 | 화 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 배운 내용을 정리해요 | 8/8 | 34~35 | 
8 | 04.20 ~ 04.26 | 화 | 음악 | 1. 우리나라의 악보 | 정간보를 이해하고 '아리랑'의 일부를 율명으로 노래 부르기 | 1/1 | 22~23 | 
8 | 04.20 ~ 04.26 | 수 | 국어 | 2. 체험한 일을 글로 써요 | 여정, 견문, 감상이 드러나는 기행문 쓰기 -4- 행복교실2 - '내가 겪은 여행지에서의 황당한 일' 사연 낭독하기 | 12/15 | 93~101 | 
8 | 04.20 ~ 04.26 | 수 | 영어 | 3. Can I Sit Here? | 허락을 요청하고 답하는 글을 읽고 내용 이해하기 | 5/8 | 46~47 | 
8 | 04.20 ~ 04.26 | 수 | 수학 | 2. 약수와 배수 | 하하! 놀이와 만나요 | 11/13 | 46~47 | 
8 | 04.20 ~ 04.26 | 수 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 스포츠를 어떻게 즐겨야 할까요 -1- 【교통안전-보행자안전】 | 1/24 | 38~41 | 
8 | 04.20 ~ 04.26 | 수 | 과학 | 2. 빛의 성질 | 거울이나 렌즈를 이용한 장치 만들기 -1- | 10/13 | 58~59 | 
8 | 04.20 ~ 04.26 | 목 | 국어 | 2. 체험한 일을 글로 써요 | 배운 내용 실천하기 -1- | 13/15 | 102~103 | 
8 | 04.20 ~ 04.26 | 목 | 국어 | 2. 체험한 일을 글로 써요 | 배운 내용 실천하기 -2- | 14/15 | 102~103 | 
8 | 04.20 ~ 04.26 | 목 | 영어 | 3. Can I Sit Here? | 공공장소 이용 규칙에 관한 글 읽고 쓰기 -1- 【교통안전】 | 6/8 | 48~49 | 
8 | 04.20 ~ 04.26 | 목 | 음악 | 1. 너도나도 랩 스타 | 친구를 칭찬하는 랩 가사를 만들고 친구와 주고 받으며 노래 부르기 -1- | 1/2 | 24~25 | 
8 | 04.20 ~ 04.26 | 금 | 과학 | 2. 빛의 성질 | 거울이나 렌즈를 이용한 장치 만들기 -2- | 11/13 | 58~59 | 
8 | 04.20 ~ 04.26 | 금 | 사회 | 2. 우리나라 지리 탐구 | 바람은 계절에 따라 우리나라에 어떤 영향을 줄까요 | 5/18 | 64~67 | 
8 | 04.20 ~ 04.26 | 금 | 실과 | 2. 동식물과 함께하는 생활 | 동물을 직접 돌보며 길러 봐요. -2- | 9/12 | 32~35 | 
8 | 04.20 ~ 04.26 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 스포츠를 어떻게 즐겨야 할까요 -2- | 2/24 | 38~41 | 
8 | 04.20 ~ 04.26 | 금 | 미술 | 3. 새기고 찍는 즐거움 | 스텐실로 표현하기 | 3/6 | 17 | 
## TABLE 119 grid 21x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
8 | 04.20 ~ 04.26 | 금 | 미술 | 3. 새기고 찍는 즐거움 | 지점토 도장으로 표현하기 -1- | 4/6 | 18 | 
9 | 04.27 ~ 05.03 | 월 | 국어 | 2. 체험한 일을 글로 써요 | 배운 내용 마무리하기 | 15/15 | 104~107 | 
9 | 04.27 ~ 05.03 | 월 | 국어 | 3. 발표하고 질문해요 | 배울 내용 살펴보기 | 1/13 | 108~111 | 
9 | 04.27 ~ 05.03 | 월 | 영어 | 3. Can I Sit Here? | 공공장소 이용 규칙에 관한 글 읽고 쓰기 -2- | 7/8 | 48~49 | 
9 | 04.27 ~ 05.03 | 월 | 자율·자치활동 | 다문화 이해교육 | 그림책에 나오는 다양한 나라 알아보기 【다문화 이해교육】 | 2/4 |  | 
9 | 04.27 ~ 05.03 | 월 | 실과 | 2. 동식물과 함께하는 생활 | 동물을 직접 돌보며 길러 봐요. -3- | 10/12 | 32~35 | 
9 | 04.27 ~ 05.03 | 화 | 도덕 | 2. 반성과 성찰로 성장하는 나 | 반성과 성찰로 진정한 나를 키워요 【인성교육】 | 4/4 | 34~37 | 
9 | 04.27 ~ 05.03 | 화 | 과학 | 2. 빛의 성질 | 거울이나 렌즈를 이용한 장치 만들기 -3- | 12/13 | 58~59 | 
9 | 04.27 ~ 05.03 | 화 | 사회 | 2. 우리나라 지리 탐구 | 우리나라 기후는 어떻게 변화하고 있을까요 -1- 【재난안전-자연재난】 | 6/18 | 68~69 | 
9 | 04.27 ~ 05.03 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 빠르게 이어달리기 -1- 【교통안전-보행자안전, 응급처치-상황별응급처치】 | 3/24 | 42~43 | 
9 | 04.27 ~ 05.03 | 화 | 음악 | 1. 너도나도 랩 스타 | 친구를 칭찬하는 랩 가사를 만들고 친구와 주고 받으며 노래 부르기 -2- | 2/2 | 24~25 | 
9 | 04.27 ~ 05.03 | 수 | 국어 | 3. 발표하고 질문해요 | 자료 선별하기 -1- | 2/13 | 112~118 | 
9 | 04.27 ~ 05.03 | 수 | 영어 | 3. Can I Sit Here? | 문제를 풀며 학습한 내용 정리하기 | 8/8 | 50~51 | 
9 | 04.27 ~ 05.03 | 수 | 수학 | 3. 대응 관계 | 단원 도입 | 1/8 | 53~55 | 
9 | 04.27 ~ 05.03 | 수 | 과학 | 2. 빛의 성질 | [단원 마무리] 과학으로 보는 세상 | 13/13 | 60~63 | 
9 | 04.27 ~ 05.03 | 목 | 국어 | 3. 발표하고 질문해요 | 자료 선별하기 -2- | 3/13 | 112~118 | 
9 | 04.27 ~ 05.03 | 목 | 국어 | 3. 발표하고 질문해요 | 자료를 활용하여 발표하기 -1- | 4/13 | 119~124 | 
9 | 04.27 ~ 05.03 | 목 | 영어 | 4. Whose Bottle Is This? | 물건의 주인이 누구인지 묻고 답하는 표현 이해하기 | 1/7 | 52~55 | 
9 | 04.27 ~ 05.03 | 목 | 사회 | 2. 우리나라 지리 탐구 | 우리나라 기후는 어떻게 변화하고 있을까요 -2- | 7/18 | 68~69 | 
9 | 04.27 ~ 05.03 | 목 | 수학 | 3. 대응 관계 | 두 양 사이의 관계를 알아볼까요(1) | 2/8 | 56~57 | 
## TABLE 128 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
9 | 04.27 ~ 05.03 | 목 | 음악 | 1. 단원 마무리 | 1단원에서 학습한 내용 정리하기 | 1/1 | 26 | 
10 | 05.04 ~ 05.10 | 월 | 국어 | 3. 발표하고 질문해요 | 자료를 활용하여 발표하기 -2- | 5/13 | 119~124 | 
10 | 05.04 ~ 05.10 | 월 | 국어 | 3. 발표하고 질문해요 | 자료를 활용하여 발표하기 -3- | 6/13 | 119~124 | 
10 | 05.04 ~ 05.10 | 월 | 영어 | 4. Whose Bottle Is This? | 물건의 주인이 누구인지 묻고 답하는 내용 이해하여 말하기 | 2/7 | 56~57 | 
10 | 05.04 ~ 05.10 | 월 | 수학 | 3. 대응 관계 | 두 양 사이의 관계를 알아볼까요(2) | 3/8 | 58~59 | 
10 | 05.04 ~ 05.10 | 월 | 자율·자치활동 | 통일교육 | 명절을 보내는 남한과 북한의 공통점 알아보기 | 1/5 |  | 
10 | 05.04 ~ 05.10 | 월 | 실과 | 2. 동식물과 함께하는 생활 | 동물을 직접 돌보며 길러 봐요. -4- | 11/12 | 32~35 | 
10 | 05.04 ~ 05.10 | 수 | 국어 | 3. 발표하고 질문해요 | 주의 깊게 듣고 질문하기 -1- | 7/13 | 125~130 | 
10 | 05.04 ~ 05.10 | 수 | 영어 | 4. Whose Bottle Is This? | 물건의 주인이 누구인지 묻고 답하는 문장 읽고 쓰기 | 3/7 | 58~59 | 
10 | 05.04 ~ 05.10 | 수 | 수학 | 3. 대응 관계 | 대응 관계를식으로 나타내 볼까요(1) | 4/8 | 60~61 | 
10 | 05.04 ~ 05.10 | 수 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 빠르게 이어달리기 -3- | 5/24 | 42~43 | 
10 | 05.04 ~ 05.10 | 목 | 국어 | 3. 발표하고 질문해요 | 주의 깊게 듣고 질문하기 -2- | 8/13 | 125~130 | 
10 | 05.04 ~ 05.10 | 목 | 영어 | 4. Whose Bottle Is This? | 물건을 묘사하는 글을 읽고 이해하기 | 4/7 | 60~61 | 
10 | 05.04 ~ 05.10 | 목 | 자율·자치활동 | 보건교육 | 약물 중독 예방하기 【약물 및 사이버 중독 예방-약물중독, 보건교육】 | 4/13 |  | 
10 | 05.04 ~ 05.10 | 목 | 수학 | 3. 대응 관계 | 대응 관계를식으로 나타내 볼까요(2) | 5/8 | 62~63 | 
10 | 05.04 ~ 05.10 | 목 | 음악 | 2. 초생달 | 바른 자세와 호흡으로 빠르기의 변화를 살려 노래 부르기 -1- | 1/2 | 28~29 | 
10 | 05.04 ~ 05.10 | 금 | 과학 | 3. 용해와 용액 | 여러 가지 물질을 물에 넣어 볼까요 | 2/12 | 68~69 | 
10 | 05.04 ~ 05.10 | 금 | 사회 | 2. 우리나라 지리 탐구 | 기후변화는 자연재해에 어떤 영향을 줄까요 -1- 【재난안전-자연재난】 | 8/18 | 70~73 | 
10 | 05.04 ~ 05.10 | 금 | 실과 | 2. 동식물과 함께하는 생활 | 대단원 마무리 | 12/12 | 36~37 | 
## TABLE 137 grid 20x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
10 | 05.04 ~ 05.10 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 다양한 방법의 멀리뛰기 -1- | 6/24 | 44~45 | 
10 | 05.04 ~ 05.10 | 금 | 미술 | 3. 새기고 찍는 즐거움 | 지점토 도장으로 표현하기 -2- | 5/6 | 18 | 
10 | 05.04 ~ 05.10 | 금 | 미술 | 3. 새기고 찍는 즐거움 | 판화의 특징을 생각하며 작품 감상하기 | 6/6 | 19 | 
11 | 05.11 ~ 05.17 | 월 | 국어 | 3. 발표하고 질문해요 | 이야기를 읽고 대화하기 -2- | 10/13 | 131~143 | 
11 | 05.11 ~ 05.17 | 월 | 국어 | 3. 발표하고 질문해요 | 배운 내용 실천하기 -1- | 11/13 | 144~145 | 
11 | 05.11 ~ 05.17 | 월 | 영어 | 4. Whose Bottle Is This? | 물건을 묘사하는 글 읽고 쓰기 -1- | 5/7 | 62~63 | 
11 | 05.11 ~ 05.17 | 월 | 자율·자치활동 | 교육활동보호 | 교육활동보호 | 1/1 |  | 
11 | 05.11 ~ 05.17 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 균형 잡힌 식사가 중요해요 -1- 【건강한식생활및영양교육】 | 1/16 | 40~41 | 
11 | 05.11 ~ 05.17 | 화 | 도덕 | 3. 함께 사는 세상, 봉사하는 우리 | 봉사하는 사람들을 살펴봐요 | 1/4 | 38~43 | 
11 | 05.11 ~ 05.17 | 화 | 과학 | 3. 용해와 용액 | 물질을 물에 녹이면 사라지는 것일까요 [환경교육] | 3/12 | 70~71 | 
11 | 05.11 ~ 05.17 | 화 | 사회 | 2. 우리나라 지리 탐구 | 기후변화는 자연재해에 어떤 영향을 줄까요 -2- 【재난안전-자연재난】 | 9/18 | 70~73 | 
11 | 05.11 ~ 05.17 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 다양한 방법의 멀리뛰기 -2- | 7/24 | 44~45 | 
11 | 05.11 ~ 05.17 | 화 | 음악 | 2. 초생달 | 바른 자세와 호흡으로 빠르기의 변화를 살려 노래 부르기 -2- | 2/2 | 28~29 | 
11 | 05.11 ~ 05.17 | 수 | 국어 | 3. 발표하고 질문해요 | 배운 내용 실천하기 -2- | 12/13 | 144~145 | 
11 | 05.11 ~ 05.17 | 수 | 수학 | 3. 대응 관계 | 와우! 세상과 만나요 | 7/8 | 66~67 | 
11 | 05.11 ~ 05.17 | 수 | 과학 | 3. 용해와 용액 | 용질의 종류와 물의 온도에 따라 물에 녹는 용질의 양을 비교해 볼까요 -1-  [환경교육] | 4/12 | 72~75 | 
11 | 05.11 ~ 05.17 | 목 | 국어 | 3. 발표하고 질문해요 | 배운 내용 마무리하기 | 13/13 | 146~149 | 
11 | 05.11 ~ 05.17 | 목 | 국어 | <매체> 필요한 정보를 찾아요 | 매체를 이용한 경험 떠올리기 -1- | 1/12 | 160~165 | 
11 | 05.11 ~ 05.17 | 목 | 영어 | 4. Whose Bottle Is This? | 문제를 풀며 학습한 내용 정리하기 | 7/7 | 64~65 | 
## TABLE 146 grid 17x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
11 | 05.11 ~ 05.17 | 목 | 사회 | 2. 우리나라 지리 탐구 | 기후변화에 대응하기 위해 어떤 노력이 필요할까요 【재난안전-자연재난】 | 10/18 | 74~77 | 
11 | 05.11 ~ 05.17 | 목 | 음악 | 2. 너영나영 | 세마치장단의 세를 살려 장구로 연주하고 노랫말을 바꾸어 노래 부르기 -1- | 1/2 | 30~31 | 
11 | 05.11 ~ 05.17 | 금 | 과학 | 3. 용해와 용액 | 용질의 종류와 물의 온도에 따라 물에 녹는 용질의 양을 비교해 볼까요 -2- | 5/12 | 72~75 | 
11 | 05.11 ~ 05.17 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 자유형으로 빠르게 헤엄치기 -2- | 9/24 | 46~47 | 
11 | 05.11 ~ 05.17 | 금 | 미술 | 4. 사람과 자연의 어울림 | 무엇이 느껴지나요 | 1/6 | 22 | 
11 | 05.11 ~ 05.17 | 금 | 미술 | 4. 사람과 자연의 어울림 | 자연을 느끼고 표현하기 -1- | 2/6 | 23 | 
12 | 05.18 ~ 05.24 | 월 | 국어 | <매체> 필요한 정보를 찾아요 | 매체를 이용한 경험 떠올리기 -2- | 2/12 | 160~165 | 
12 | 05.18 ~ 05.24 | 월 | 국어 | <매체> 필요한 정보를 찾아요 | 검색 도구를 이용하는 방법 알기 -1- | 3/12 | 166~171 | 
12 | 05.18 ~ 05.24 | 월 | 영어 | Culture 2 | 프랑스와 영국의 업사이클링 미술관 -1- | 1/2 | 66~67 | 
12 | 05.18 ~ 05.24 | 월 | 수학 | 4. 약분과 통분 | 단원 도입 | 1/12 | 71~73 | 
12 | 05.18 ~ 05.24 | 월 | 자율·자치활동 | 환경･지속가능발전교육 | 환경을 깨끗하게 유지하기 위해 우리가 할 수 있는 일 알아보고 플로깅 활동하기【환경･지속가능발전교육, 봉사활동-2】 | 1/5 |  | 
12 | 05.18 ~ 05.24 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 균형 잡힌 식사와 건강한 식습관을 실천해요 -1- | 3/16 | 42~43 | 
12 | 05.18 ~ 05.24 | 화 | 도덕 | 3. 함께 사는 세상, 봉사하는 우리 | 도움이 필요한 이웃을 찾아봐요 | 2/4 | 44~45 | 
12 | 05.18 ~ 05.24 | 화 | 과학 | 3. 용해와 용액 | 용질이나 용매의 양에 따라 용액의 진하기는 어떻게 될까요 -1- | 6/12 | 76~79 | 
12 | 05.18 ~ 05.24 | 화 | 사회 | 2. 우리나라 지리 탐구 | 수도권에 인구가 집중하는 원인은 무엇일까요 -1- [다문화교육] | 12/18 | 82~85 | 
12 | 05.18 ~ 05.24 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 평영으로 빠르게 헤엄치기 -1- | 10/24 | 48~49 | 
## TABLE 155 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
12 | 05.18 ~ 05.24 | 화 | 수학 | 4. 약분과 통분 | 크기가 같은 분수를 알아볼까요 | 2/12 | 74~75 | 
12 | 05.18 ~ 05.24 | 화 | 음악 | 2. 너영나영 | 세마치장단의 세를 살려 장구로 연주하고 노랫말을 바꾸어 노래 부르기 -2- | 2/2 | 30~31 | 
12 | 05.18 ~ 05.24 | 수 | 국어 | <매체> 필요한 정보를 찾아요 | 검색 도구를 이용하는 방법 알기 -2- | 4/12 | 166~171 | 
12 | 05.18 ~ 05.24 | 수 | 영어 | Culture 2 | 프랑스와 영국의 업사이클링 미술관 -2- | 2/2 | 66~67 | 
12 | 05.18 ~ 05.24 | 수 | 수학 | 4. 약분과 통분 | 크기가 같은 분수를 만들어 볼까요 | 3/12 | 76~77 | 
12 | 05.18 ~ 05.24 | 수 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 평영으로 빠르게 헤엄치기 -2- | 11/24 | 48~49 | 
12 | 05.18 ~ 05.24 | 수 | 과학 | 3. 용해와 용액 | 용질이나 용매의 양에 따라 용액의 진하기는 어떻게 될까요 -2- | 7/12 | 76~79 | 
12 | 05.18 ~ 05.24 | 목 | 국어 | <매체> 필요한 정보를 찾아요 | 검색 도구를 이용하는 방법 알기 -3- | 5/12 | 166~171 | 
12 | 05.18 ~ 05.24 | 목 | 국어 | <매체> 필요한 정보를 찾아요 | 필요한 정보 선택하기 -1- | 6/12 | 172~177 | 
12 | 05.18 ~ 05.24 | 목 | 영어 | 5. Let’s Go Camping | 활동을 제안하고 답하는 표현 이해하기 | 1/7 | 68~71 | 
12 | 05.18 ~ 05.24 | 목 | 음악 | 2. 관악기를 만나요 | 관악기의 종류와 음색을 알고 음악 감상하기 -1- | 1/2 | 32~33 | 
12 | 05.18 ~ 05.24 | 금 | 과학 | 3. 용해와 용액 | 물체의 뜨는 정도로 용액의 진하기를 비교해 볼까요 | 8/12 | 80~81 | 
12 | 05.18 ~ 05.24 | 금 | 사회 | 2. 우리나라 지리 탐구 | 수도권에 인구가 집중하면 어떤 문제가 발생할까요 | 14/18 | 86~87 | 
12 | 05.18 ~ 05.24 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 균형 잡힌 식사와 건강한 식습관을 실천해요 -2- | 4/16 | 42~43 | 
12 | 05.18 ~ 05.24 | 금 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 매트에서 구르기 -1- | 12/24 | 50~51 | 
12 | 05.18 ~ 05.24 | 금 | 미술 | 4. 사람과 자연의 어울림 | 자연을 느끼고 표현하기 -2- | 3/6 | 23 | 
12 | 05.18 ~ 05.24 | 금 | 미술 | 4. 사람과 자연의 어울림 | 자연과 사람의 관계 표현하기 -1- | 4/6 | 24 | 
13 | 05.25 ~ 05.31 | 화 | 도덕 | 3. 함께 사는 세상, 봉사하는 우리 | 봉사 활동 계획을 세우고 실천해요 【인성교육】 | 3/4 | 46~49 | 
## TABLE 164 grid 19x9
주 | 기간 | 요일 | 과목명 | 단원명 | 학습주제 | 차시 | 쪽수 | 비고
13 | 05.25 ~ 05.31 | 화 | 과학 | 3. 용해와 용액 | 일상생활에서 용액이 쓰이는 사례를 알아볼까요 | 9/12 | 82~83 | 
13 | 05.25 ~ 05.31 | 화 | 사회 | 2. 우리나라 지리 탐구 | 인구 분포의 불균형을 해결하기 위한 방안을 찾아볼까요 -1- [통일교육] | 15/18 | 88~93 | 
13 | 05.25 ~ 05.31 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 매트에서 구르기 -2- | 13/24 | 50~51 | 
13 | 05.25 ~ 05.31 | 화 | 수학 | 4. 약분과 통분 | 통분을 알아볼까요 | 5/12 | 80~81 | 
13 | 05.25 ~ 05.31 | 화 | 음악 | 2. 관악기를 만나요 | 관악기의 종류와 음색을 알고 음악 감상하기 -2- | 2/2 | 32~33 | 
