### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
T245: 19 | 07.06 ~ 07.12 | 수 | 진로활동 | 진로 탐구 | 자신의 장점과 단점, 성격 파악하기 【진로교육】 | 1/5 |  | 
T245: 19 | 07.06 ~ 07.12 | 목 | 동아리활동 | 동아리 활동 | 책 읽고 있었던 일을 시간과 장소의 순서에 따라 정리하기 | 3/8 |  | 
T254: 19 | 07.06 ~ 07.12 | 목 | 수학 | 6. 다각형의 둘레와 넓이 | 평행사변형의 넓이를 구해 볼까요 -2- | 8/14 | 130~133 | 
T254: 19 | 07.06 ~ 07.12 | 금 | 진로활동 | 진로 탐구 | 일에 대한 건전한 가치관 확립하기 【진로교육】 | 2/5 |  | 
T254: 19 | 07.06 ~ 07.12 | 금 | 동아리활동 | 동아리 활동 | 책을 읽고 찬반이 나뉠 수 있는 질문 만들기, 독서토론하기 | 4/8 |  | 
T254: 20 | 07.13 ~ 07.19 | 월 | 진로활동 | 진로 탐구 | 진로 검사를 통하여 자신의 소질과 적성 파악하기 【진로교육】 | 3/5 |  | 
T254: 20 | 07.13 ~ 07.19 | 월 | 자율·자치활동 | 사이버폭력 예방 교육 | 피해자의 심리적/신체적 고통: 불안, 우울, 학업 중단 등 실제 피해 사례를 통한 공감대 형성. 【약물 및 사이버 중독 예방-사이버중독, 학교폭력 예방교육】 | 3/3 |  | 
T254: 20 | 07.13 ~ 07.19 | 화 | 동아리활동 | 동아리 활동 | 결말 이후 인물에게 일어날 일 상상하기, 뒷이야기 장면 구성하기 | 5/8 |  | 
T263: 20 | 07.13 ~ 07.19 | 수 | 동아리활동 | 동아리 활동 | 인상 깊은 장면 고르기, 역할극·만화·뉴스 인터뷰 중 선택해 표현하기 | 6/8 |  | 
T263: 20 | 07.13 ~ 07.19 | 목 | 진로활동 | 진로 탐구 | 자신에게 적합한 일과 직업이 무엇인지 알아보기 【진로교육】 | 4/5 |  | 
T263: 21 | 07.20 ~ 07.26 | 월 | 자율·자치활동 | 2학기 전교임원선거 | 2학기 전교임원선거 -1- 【민주시민교육】 | 1/2 |  | 
T263: 21 | 07.20 ~ 07.26 | 월 | 자율·자치활동 | 2학기 전교임원선거 | 2학기 전교임원선거 -2- 【민주시민교육】 | 2/2 |  | 
T272: 21 | 07.20 ~ 07.26 | 수 | 동아리활동 | 동아리 활동 | 나만의 동화책 만들기 -1- | 7/8 |  | 
T272: 21 | 07.20 ~ 07.26 | 수 | 동아리활동 | 동아리 활동 | 나만의 동화책 만들기 -2- | 8/8 |  | 
T272: 21 | 07.20 ~ 07.26 | 목 | 진로활동 | 진로 탐구 | 미래에 내가 갖고 싶은 직업 그림으로 표현하기 【진로교육】 | 5/5 |  | 
T272: 21 | 07.20 ~ 07.26 | 목 | 자율·자치활동 | 여름방학식 | 여름방학식 【생활안전-신체활동 안전, 교통안전-자동차안전】 | 1/1 |  | 
