### FILE 2026학년도 장량초 5학년 1학기 교육과정 연간지도계획.hwpx
T65: 5 | 03.30 ~ 04.05 | 화 | 사회 | 1. 우리나라 국토 여행 | 독도를 지키려고 어떤 노력을 해 왔을까요 -1- 【독도교육】 | 14/16 | 44~49 | 
T65: 5 | 03.30 ~ 04.05 | 수 | 체육 | 1-1. 몸을 튼튼하게 만드는 건강 체력 | 일주일 운동 계획 세워 실천하기 【보건교육】 | 13/13 | 22~23 | 
T65: 5 | 03.30 ~ 04.05 | 수 | 과학 | 2. 빛의 성질 | [단원 열기] 손전등으로 빛 도장 만들기 | 1/13 | 36~39 | 
T74: 5 | 03.30 ~ 04.05 | 목 | 사회 | 1. 우리나라 국토 여행 | 독도를 지키려고 어떤 노력을 해 왔을까요 -2- 【독도교육】 | 15/16 | 44~49 | 
T74: 5 | 03.30 ~ 04.05 | 금 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 성장으로 변화하는 몸과 마음 알아보기 【보건교육】 | 1/8 | 24~25 | 
T74: 6 | 04.06 ~ 04.12 | 월 | 자율·자치활동 | 생활안전 | 반려견과 안전하게 산책하는 방법 알아보기 【생활안전-신체활동 안전】 | 1/2 |  | 
T74: 6 | 04.06 ~ 04.12 | 화 | 도덕 | 2. 반성과 성찰로 성장하는 나 | 반성하며 깨달아요 【인성교육】 | 1/4 | 22~25 | 
T83: 6 | 04.06 ~ 04.12 | 화 | 자율·자치활동 | 교통안전 | 어린이 보호구역 알아보기 【교통안전-보행자안전】 | 1/1 |  | 
T83: 6 | 04.06 ~ 04.12 | 화 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 성 건강 알아보기 -1- 【양성평등교육, 보건교육】 | 2/8 | 26~27 | 
T83: 6 | 04.06 ~ 04.12 | 수 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 성 건강 알아보기 -2- 【양성평등교육, 보건교육】 | 3/8 | 26~27 | 
T83: 6 | 04.06 ~ 04.12 | 목 | 자율·자치활동 | 다문화 이해교육 | 다른 나라 사람들의 생활 모습 알아보기 【다문화 이해교육】 | 1/4 |  | 
T83: 6 | 04.06 ~ 04.12 | 금 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 상대방과 내 감정 이해하기 【양성평등교육】 | 4/8 | 28~29 | 
T92: 7 | 04.13 ~ 04.19 | 월 | 자율·자치활동 | 장애인식 개선교육 | 장애우의 어려운 점 이해하고 도와줄 일 알아보기 【장애인식 개선교육】 | 1/4 |  | 
T92: 7 | 04.13 ~ 04.19 | 화 | 자율·자치활동 | 장애인식 개선교육 | 장애인에 대한 바른 태도 알아보기 【장애인식 개선교육】 | 2/4 |  | 
T92: 7 | 04.13 ~ 04.19 | 화 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 건강한 관계 맺기 -1- 【양성평등교육】 | 5/8 | 30~31 | 
T92: 7 | 04.13 ~ 04.19 | 수 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 건강한 관계 맺기 -2- 【양성평등교육】 | 6/8 | 30~31 | 
T101: 7 | 04.13 ~ 04.19 | 금 | 체육 | 1-2. 건강하고 아름답게 성장하는 나 | 운동으로 달라지는 우리의 뇌 【교통안전-보행자안전】 | 7/8 | 32~33 | 
T101: 8 | 04.20 ~ 04.26 | 월 | 자율·자치활동 | 보건교육 | 건강의 의미를 알아보고 적절한 건강 증진 계획 세우기 【보건교육, 생활안전-신체활동 안전】 | 1/13 |  | 
T110: 8 | 04.20 ~ 04.26 | 수 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 스포츠를 어떻게 즐겨야 할까요 -1- 【교통안전-보행자안전】 | 1/24 | 38~41 | 
T110: 8 | 04.20 ~ 04.26 | 목 | 영어 | 3. Can I Sit Here? | 공공장소 이용 규칙에 관한 글 읽고 쓰기 -1- 【교통안전】 | 6/8 | 48~49 | 
T119: 9 | 04.27 ~ 05.03 | 월 | 자율·자치활동 | 다문화 이해교육 | 그림책에 나오는 다양한 나라 알아보기 【다문화 이해교육】 | 2/4 |  | 
T119: 9 | 04.27 ~ 05.03 | 화 | 도덕 | 2. 반성과 성찰로 성장하는 나 | 반성과 성찰로 진정한 나를 키워요 【인성교육】 | 4/4 | 34~37 | 
T119: 9 | 04.27 ~ 05.03 | 화 | 사회 | 2. 우리나라 지리 탐구 | 우리나라 기후는 어떻게 변화하고 있을까요 -1- 【재난안전-자연재난】 | 6/18 | 68~69 | 
T119: 9 | 04.27 ~ 05.03 | 화 | 체육 | 2-1. 정확한 기술로 겨루는 기술형 스포츠 | 빠르게 이어달리기 -1- 【교통안전-보행자안전, 응급처치-상황별응급처치】 | 3/24 | 42~43 | 
T119: 9 | 04.27 ~ 05.03 | 수 | 과학 | 2. 빛의 성질 | [단원 마무리] 과학으로 보는 세상 | 13/13 | 60~63 | 
T128: 10 | 05.04 ~ 05.10 | 목 | 자율·자치활동 | 보건교육 | 약물 중독 예방하기 【약물 및 사이버 중독 예방-약물중독, 보건교육】 | 4/13 |  | 
T128: 10 | 05.04 ~ 05.10 | 금 | 사회 | 2. 우리나라 지리 탐구 | 기후변화는 자연재해에 어떤 영향을 줄까요 -1- 【재난안전-자연재난】 | 8/18 | 70~73 | 
T137: 11 | 05.11 ~ 05.17 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 균형 잡힌 식사가 중요해요 -1- 【건강한식생활및영양교육】 | 1/16 | 40~41 | 
T137: 11 | 05.11 ~ 05.17 | 화 | 과학 | 3. 용해와 용액 | 물질을 물에 녹이면 사라지는 것일까요 [환경교육] | 3/12 | 70~71 | 
T137: 11 | 05.11 ~ 05.17 | 화 | 사회 | 2. 우리나라 지리 탐구 | 기후변화는 자연재해에 어떤 영향을 줄까요 -2- 【재난안전-자연재난】 | 9/18 | 70~73 | 
T137: 11 | 05.11 ~ 05.17 | 수 | 과학 | 3. 용해와 용액 | 용질의 종류와 물의 온도에 따라 물에 녹는 용질의 양을 비교해 볼까요 -1-  [환경교육] | 4/12 | 72~75 | 
T146: 11 | 05.11 ~ 05.17 | 목 | 사회 | 2. 우리나라 지리 탐구 | 기후변화에 대응하기 위해 어떤 노력이 필요할까요 【재난안전-자연재난】 | 10/18 | 74~77 | 
T146: 12 | 05.18 ~ 05.24 | 월 | 자율·자치활동 | 환경･지속가능발전교육 | 환경을 깨끗하게 유지하기 위해 우리가 할 수 있는 일 알아보고 플로깅 활동하기【환경･지속가능발전교육, 봉사활동-2】 | 1/5 |  | 
T146: 12 | 05.18 ~ 05.24 | 화 | 사회 | 2. 우리나라 지리 탐구 | 수도권에 인구가 집중하는 원인은 무엇일까요 -1- [다문화교육] | 12/18 | 82~85 | 
T155: 13 | 05.25 ~ 05.31 | 화 | 도덕 | 3. 함께 사는 세상, 봉사하는 우리 | 봉사 활동 계획을 세우고 실천해요 【인성교육】 | 3/4 | 46~49 | 
T164: 13 | 05.25 ~ 05.31 | 화 | 사회 | 2. 우리나라 지리 탐구 | 인구 분포의 불균형을 해결하기 위한 방안을 찾아볼까요 -1- [통일교육] | 15/18 | 88~93 | 
T164: 13 | 05.25 ~ 05.31 | 목 | 사회 | 2. 우리나라 지리 탐구 | 인구 분포의 불균형을 해결하기 위한 방안을 찾아볼까요 -2- [통일교육] | 16/18 | 88~93 | 
T173: 14 | 06.01 ~ 06.07 | 화 | 도덕 | 3. 함께 사는 세상, 봉사하는 우리 | 봉사의 마음을 키워요 【인성교육】 | 4/4 | 50~53 | 
T173: 14 | 06.01 ~ 06.07 | 화 | 과학 | 3. 용해와 용액 | [단원 마무리] 과학으로 보는 세상 | 12/12 | 86~89 | 
T173: 14 | 06.01 ~ 06.07 | 목 | 사회 | 3. 법과 인권의 보장 | 단원·주제 도입,[어울림교육-7]사이버 갈등관리 및 문제해결, 학생 도박예방교육 | 1/18 | 98~101 | 
T173: 14 | 06.01 ~ 06.07 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | [단원 열기] 우리 몸 골격 모형 만들기 | 1/13 | 90~93 | 
T173: 14 | 06.01 ~ 06.07 | 금 | 사회 | 3. 법과 인권의 보장 | 법이란 무엇일까요,[어울림교육-8]사이버 갈등관리 및 문제해결, 학생 도박예방교육 | 2/18 | 102~103 | 
T182: 15 | 06.08 ~ 06.14 | 월 | 자율·자치활동 | 정보 통신 | 사이버 공간에서 하는 일들을 분류하기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독, 직업안전-직업안전의식】 | 1/10 |  | 
T191: 15 | 06.08 ~ 06.14 | 금 | 미술 | 5. 디지털 매체로 새롭게 | 디지털 매체로 만화 그리기 -1- 【소방안전교육】 | 4/6 | 28 | 
T200: 16 | 06.15 ~ 06.21 | 월 | 자율·자치활동 | 정보 통신 | 사이버 공간의 편리함을 알고 바르게 이용하는 방법을 실천하기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독】 | 2/10 |  | 
T209: 16 | 06.15 ~ 06.21 | 금 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 건강하고 적절한 옷 입기를 실천해요 -2- 【생활안전-신체활동 안전】 | 11/16 | 50~53 | 
T209: 17 | 06.22 ~ 06.28 | 월 | 자율·자치활동 | 정보 통신 | 인터넷과 게임 중독의 개념 및 증상 이해하고 대처법 알아보기 【디지털 시민교육, 약물 및 사이버 중독 예방-사이버중독】 | 3/10 |  | 
T209: 17 | 06.22 ~ 06.28 | 월 | 실과 | 3. 스스로 실천하는 식생활과 의생활 | 건강하고 적절한 옷 입기를 실천해요 -3- 【생활안전-신체활동 안전】 | 12/16 | 50~53 | 
T209: 17 | 06.22 ~ 06.28 | 화 | 도덕 | 4. 우리 스스로 만드는 따뜻한 세상 | 따뜻한 세상을 위해 할 수 있는 일을  찾아요 【인성교육】 | 3/4 | 62~63 | 
T209: 17 | 06.22 ~ 06.28 | 화 | 사회 | 3. 법과 인권의 보장 | 헌법에 규정된 인권을 보장하는 다양한 사례를 조사해 볼까요 -1-, [어울림교육-10]사이버 폭력인식 및 대처 | 8/18 | 118~121 | 
T218: 17 | 06.22 ~ 06.28 | 수 | 과학 | 4. 우리 몸의 구조와 기능 | 우리 몸에는 어떤 질병이 생길까요 【보건교육】 | 9/13 | 108~109 | 
T218: 17 | 06.22 ~ 06.28 | 목 | 사회 | 3. 법과 인권의 보장 | 헌법에 규정된 인권을 보장하는 다양한 사례를 조사해 볼까요 -2-, [어울림교육-11]사이버 폭력인식 및 대처 | 9/18 | 118~121 | 
T218: 17 | 06.22 ~ 06.28 | 금 | 과학 | 4. 우리 몸의 구조와 기능 | 질병 예방 실천 자료 만들고 실천하기 -1- 【보건교육】 | 10/13 | 110~111 | 
